batch_id,date,shift,machine,units_produced,defective_units
B0103,2026-01-07,Morning,M3,551,30
B0104,2026-01-07,Evening,M4,568,5
B0105,2026-01-07,Night,M5,585,15
B0106,2026-01-08,Morning,M1,422,19
B0107,2026-01-08,Evening,M2,439,26
B0108,2026-01-08,Night,M3,456,12
B0109,2026-01-08,Morning,M4,473,12
B0110,2026-01-08,Evening,M5,490,19
B0111,2026-01-08,Night,M1,507,29
B0112,2026-01-08,Morning,M2,524,5
B0113,2026-01-08,Evening,M3,541,16
B0114,2026-01-08,Night,M4,558,22
B0115,2026-01-08,Morning,M5,575,26
B0116,2026-01-08,Evening,M1,592,5
B0117,2026-01-08,Night,M2,429,15
B0118,2026-01-08,Morning,M3,446,23
B0119,2026-01-08,Evening,M4,463,26
B0120,2026-01-08,Night,M5,480,8
B0121,2026-01-09,Morning,M1,497,12
B0122,2026-01-09,Evening,M2,514,19
B0123,2026-01-09,Night,M3,531,33
B0124,2026-01-09,Morning,M4,548,5
B0125,2026-01-09,Evening,M5,565,12
B0126,2026-01-09,Night,M1,582,22
B0127,2026-01-09,Morning,M2,599,26
B0128,2026-01-09,Evening,M3,436,9
B0129,2026-01-09,Night,M4,453,15
B0130,2026-01-09,Morning,M5,470,19
B0131,2026-01-09,Evening,M1,487,26
B0132,2026-01-09,Night,M2,504,8
B0133,2026-01-09,Morning,M3,521,16
B0134,2026-01-09,Evening,M4,538,19
B0135,2026-01-09,Night,M5,555,29
B0136,2026-01-10,Morning,M1,572,5
B0137,2026-01-10,Evening,M2,589,12
B0138,2026-01-10,Night,M3,426,26
B0139,2026-01-10,Morning,M4,443,26
B0140,2026-01-10,Evening,M5,460,5
B0141,2026-01-10,Night,M1,477,15
B0142,2026-01-10,Morning,M2,494,19
B0143,2026-01-10,Evening,M3,511,30
B0144,2026-01-10,Night,M4,528,8
B0145,2026-01-10,Morning,M5,545,12
B0146,2026-01-10,Evening,M1,562,19
B0147,2026-01-10,Night,M2,579,29
B0148,2026-01-10,Morning,M3,596,9
B0149,2026-01-10,Evening,M4,433,12
B0150,2026-01-10,Night,M5,450,22
B0151,2026-01-11,Morning,M1,467,26
B0152,2026-01-11,Evening,M2,484,5
B0153,2026-01-11,Night,M3,501,19
B0154,2026-01-11,Morning,M4,518,19
B0155,2026-01-11,Evening,M5,535,26
B0156,2026-01-11,Night,M1,552,8
B0157,2026-01-11,Morning,M2,569,12
B0158,2026-01-11,Evening,M3,586,23
B0159,2026-01-11,Night,M4,423,29
B0160,2026-01-11,Morning,M5,440,5
B0161,2026-01-11,Evening,M1,457,12
B0162,2026-01-11,Night,M2,474,22
B0163,2026-01-11,Morning,M3,491,30
B0164,2026-01-11,Evening,M4,508,5
B0165,2026-01-11,Night,M5,525,15
B0166,2026-01-12,Morning,M1,542,19
B0167,2026-01-12,Evening,M2,559,26
B0168,2026-01-12,Night,M3,576,12
B0169,2026-01-12,Morning,M4,593,12
B0170,2026-01-12,Evening,M5,430,19
B0171,2026-01-12,Night,M1,447,29
B0172,2026-01-12,Morning,M2,464,5
B0173,2026-01-12,Evening,M3,481,16
B0174,2026-01-12,Night,M4,498,22
B0175,2026-01-12,Morning,M5,515,26
B0176,2026-01-12,Evening,M1,532,5
B0177,2026-01-12,Night,M2,549,15
B0178,2026-01-12,Morning,M3,566,23
B0179,2026-01-12,Evening,M4,583,26
B0180,2026-01-12,Night,M5,420,8
B0181,2026-01-13,Morning,M1,437,12
B0182,2026-01-13,Evening,M2,454,19
B0183,2026-01-13,Night,M3,471,33
B0184,2026-01-13,Morning,M4,488,5
B0185,2026-01-13,Evening,M5,505,12
B0186,2026-01-13,Night,M1,522,22
B0187,2026-01-13,Morning,M2,539,26
B0188,2026-01-13,Evening,M3,556,9
B0189,2026-01-13,Night,M4,573,15
B0190,2026-01-13,Morning,M5,590,19
B0191,2026-01-13,Evening,M1,427,26
B0192,2026-01-13,Night,M2,444,8
B0193,2026-01-13,Morning,M3,461,16
B0194,2026-01-13,Evening,M4,478,19
B0195,2026-01-13,Night,M5,495,29
B0196,2026-01-14,Morning,M1,512,5
B0197,2026-01-14,Evening,M2,529,12
B0198,2026-01-14,Night,M3,546,26
B0199,2026-01-14,Morning,M4,563,26
B0200,2026-01-14,Evening,M5,580,5
B0201,2026-01-14,Night,M1,597,15
B0202,2026-01-14,Morning,M2,434,19
B0203,2026-01-14,Evening,M3,451,30
B0204,2026-01-14,Night,M4,468,8
B0205,2026-01-14,Morning,M5,485,12
B0206,2026-01-14,Evening,M1,502,19
B0207,2026-01-14,Night,M2,519,29
B0208,2026-01-14,Morning,M3,536,9
B0209,2026-01-14,Evening,M4,553,12
B0210,2026-01-14,Night,M5,570,22
B0211,2026-01-15,Morning,M1,587,26
B0212,2026-01-15,Evening,M2,424,5
B0213,2026-01-15,Night,M3,441,19
B0214,2026-01-15,Morning,M4,458,19
B0215,2026-01-15,Evening,M5,475,26
B0216,2026-01-15,Night,M1,492,8
B0217,2026-01-15,Morning,M2,509,12
B0218,2026-01-15,Evening,M3,526,23
B0219,2026-01-15,Night,M4,543,29
B0220,2026-01-15,Morning,M5,560,5
B0221,2026-01-15,Evening,M1,577,12
B0222,2026-01-15,Night,M2,594,22
B0223,2026-01-15,Morning,M3,431,30
B0224,2026-01-15,Evening,M4,448,5
B0225,2026-01-15,Night,M5,465,15
B0226,2026-01-16,Morning,M1,482,19
B0227,2026-01-16,Evening,M2,499,26
B0228,2026-01-16,Night,M3,516,12
B0229,2026-01-16,Morning,M4,533,12
B0230,2026-01-16,Evening,M5,550,19
B0231,2026-01-16,Night,M1,567,29
B0232,2026-01-16,Morning,M2,584,5
B0233,2026-01-16,Evening,M3,421,16
B0234,2026-01-16,Night,M4,438,22
B0235,2026-01-16,Morning,M5,455,26
B0236,2026-01-16,Evening,M1,472,5
B0237,2026-01-16,Night,M2,489,15
B0238,2026-01-16,Morning,M3,506,23
B0239,2026-01-16,Evening,M4,523,26
B0240,2026-01-16,Night,M5,540,8
B0241,2026-01-17,Morning,M1,557,12
B0242,2026-01-17,Evening,M2,574,19
B0243,2026-01-17,Night,M3,591,33
B0244,2026-01-17,Morning,M4,428,5
B0245,2026-01-17,Evening,M5,445,12
B0246,2026-01-17,Night,M1,462,22
B0247,2026-01-17,Morning,M2,479,26
B0248,2026-01-17,Evening,M3,496,9
B0249,2026-01-17,Night,M4,513,15
B0250,2026-01-17,Morning,M5,530,19
B0251,2026-01-17,Evening,M1,547,26
B0252,2026-01-17,Night,M2,564,8
B0253,2026-01-17,Morning,M3,581,
B0254,2026-01-17,Evening,M4,598,19
B0255,2026-01-17,Night,,435,29
B0256,2026-01-18,Morning,M1,452,5
B0257,2026-01-18,Evening,M2,469,12
B0258,2026-01-18,Night,M3,486,26
B0259,2026-01-18,,M4,503,26
B0260,2026-01-18,Evening,M5,520,5
B0261,2026-01-18,Night,M1,537,15
B0262,2026-01-18,Morning,M2,554,19
B0263,2026-01-18,Evening,M3,571,30
B0264,2026-01-18,Night,M4,588,8
B0265,2026-01-18,Morning,M5,425,12
B0266,2026-01-18,Evening,M1,442,19
B0267,2026-01-18,Night,M2,459,29
B0268,2026-01-18,Morning,M3,476,9
B0269,2026-01-18,Evening,M4,493,12
B0270,2026-01-18,Night,M5,510,22
B0271,2026-01-19,Morning,M1,527,26
B0272,2026-01-19,Evening,M2,544,5
B0273,2026-01-19,Night,M3,561,19
B0274,2026-01-19,Morning,M4,578,19
B0275,2026-01-19,Evening,M5,595,26
B0276,2026-01-19,Night,M1,432,8
B0277,2026-01-19,Morning,M2,449,12
B0278,2026-01-19,Evening,M3,466,23
B0279,2026-01-19,Night,M4,483,29
B0280,2026-01-19,Morning,M5,500,5
B0281,2026-01-19,Evening,M1,517,12
B0282,2026-01-19,Night,M2,534,22
B0283,2026-01-19,Morning,M3,551,30
B0284,2026-01-19,Evening,M4,568,5
B0285,2026-01-19,Night,M5,585,15
B0286,2026-01-20,Morning,M1,422,19
B0287,2026-01-20,Evening,M2,439,26
B0288,2026-01-20,Night,M3,456,12
B0289,2026-01-20,Morning,M4,473,12
B0290,2026-01-20,Evening,M5,490,19
B0291,2026-01-20,Night,M1,507,29
B0292,2026-01-20,Morning,M2,524,5
B0293,2026-01-20,Evening,M3,541,16
B0294,2026-01-20,Night,M4,558,22
B0295,2026-01-20,Morning,M5,575,26
B0296,2026-01-20,Evening,M1,592,5
B0297,2026-01-20,Night,M2,429,15
B0298,2026-01-20,Morning,M3,446,23
B0299,2026-01-20,Evening,M4,463,26
B0300,2026-01-20,Night,M5,480,8
B0301,2026-01-21,Morning,M1,497,12
B0302,2026-01-21,Evening,M2,514,19
B0303,2026-01-21,Night,M3,531,33
B0304,2026-01-21,Morning,M4,548,5
B0305,2026-01-21,Evening,M5,565,12
B0306,2026-01-21,Night,M1,582,22
B0307,2026-01-21,Morning,M2,599,26
B0308,2026-01-21,Evening,M3,436,9
B0309,2026-01-21,Night,M4,453,15
B0310,2026-01-21,Morning,M5,470,19
B0311,2026-01-21,Evening,M1,487,26
B0312,2026-01-21,Night,M2,504,8
B0313,2026-01-21,Morning,M3,521,16
B0314,2026-01-21,Evening,M4,538,19
B0315,2026-01-21,Night,M5,555,29
B0316,2026-01-22,Morning,M1,572,5
B0317,2026-01-22,Evening,M2,589,12
B0318,2026-01-22,Night,M3,426,26
B0319,2026-01-22,Morning,M4,443,26
B0320,2026-01-22,Evening,M5,460,5
B0321,2026-01-22,Night,M1,477,15
B0322,2026-01-22,Morning,M2,494,19
B0323,2026-01-22,Evening,M3,511,30
B0324,2026-01-22,Night,M4,528,8
B0325,2026-01-22,Morning,M5,545,12
B0326,2026-01-22,Evening,M1,562,19
B0327,2026-01-22,Night,M2,579,29
B0328,2026-01-22,Morning,M3,596,9
B0329,2026-01-22,Evening,M4,433,12
B0330,2026-01-22,Night,M5,450,22
B0331,2026-01-23,Morning,M1,467,26
B0332,2026-01-23,Evening,M2,484,5
B0333,2026-01-23,Night,M3,501,19
B0334,2026-01-23,Morning,M4,518,19
B0335,2026-01-23,Evening,M5,535,26
B0336,2026-01-23,Night,M1,552,8
B0337,2026-01-23,Morning,M2,569,12
B0338,2026-01-23,Evening,M3,586,23
B0339,2026-01-23,Night,M4,423,29
B0340,2026-01-23,Morning,M5,440,5
B0341,2026-01-23,Evening,M1,457,12
B0342,2026-01-23,Night,M2,474,22
B0343,2026-01-23,Morning,M3,491,30
B0344,2026-01-23,Evening,M4,508,5
B0345,2026-01-23,Night,M5,525,15
B0346,2026-01-24,Morning,M1,542,19
B0347,2026-01-24,Evening,M2,559,26
B0348,2026-01-24,Night,M3,576,12
B0349,2026-01-24,Morning,M4,593,12
B0350,2026-01-24,Evening,M5,430,19
B0351,2026-01-24,Night,M1,447,29
B0352,2026-01-24,Morning,M2,464,5
B0353,2026-01-24,Evening,M3,481,16
B0354,2026-01-24,Night,M4,498,22
B0355,2026-01-24,Morning,M5,515,26
B0356,2026-01-24,Evening,M1,532,5
B0357,2026-01-24,Night,M2,549,15
B0358,2026-01-24,Morning,M3,566,23
B0359,2026-01-24,Evening,M4,583,26
B0360,2026-01-24,Night,M5,420,8
B0361,2026-01-25,Morning,M1,437,12
B0362,2026-01-25,Evening,M2,454,19
B0363,2026-01-25,Night,M3,471,33
B0364,2026-01-25,Morning,M4,488,5
B0365,2026-01-25,Evening,M5,505,12
B0366,2026-01-25,Night,M1,522,22
B0367,2026-01-25,Morning,M2,539,26
B0368,2026-01-25,Evening,M3,556,9
B0369,2026-01-25,Night,M4,573,15
B0370,2026-01-25,Morning,M5,590,19
B0371,2026-01-25,Evening,M1,427,26
B0372,2026-01-25,Night,M2,444,8
B0373,2026-01-25,Morning,M3,461,16
B0374,2026-01-25,Evening,M4,478,19
B0375,2026-01-25,Night,M5,495,29
B0376,2026-01-26,Morning,M1,512,5
B0377,2026-01-26,Evening,M2,529,12
B0378,2026-01-26,Night,M3,546,26
B0379,2026-01-26,Morning,M4,563,26
B0380,2026-01-26,Evening,M5,580,5
B0381,2026-01-26,Night,M1,597,15
B0382,2026-01-26,Morning,M2,434,19
B0383,2026-01-26,Evening,M3,451,30
B0384,2026-01-26,Night,M4,468,8
B0385,2026-01-26,Morning,M5,485,12
B0386,2026-01-26,Evening,M1,502,19
B0387,2026-01-26,Night,M2,519,29
B0388,2026-01-26,Morning,M3,536,9
B0389,2026-01-26,Evening,M4,553,12
B0390,2026-01-26,Night,M5,570,22
B0391,2026-01-27,Morning,M1,587,26
B0392,2026-01-27,Evening,M2,424,5
B0393,2026-01-27,Night,M3,441,19
B0394,2026-01-27,Morning,M4,458,19
B0395,2026-01-27,Evening,M5,475,26
B0396,2026-01-27,Night,M1,492,8
B0397,2026-01-27,Morning,M2,509,12
B0398,2026-01-27,Evening,M3,526,23
B0399,2026-01-27,Night,M4,543,29
B0400,2026-01-27,Morning,M5,560,5
B0401,2026-01-27,Evening,M1,577,12
B0402,2026-01-27,Night,M2,594,22
B0403,2026-01-27,Morning,M3,431,30
B0404,2026-01-27,Evening,M4,448,5
B0405,2026-01-27,Night,M5,465,15
B0406,2026-01-28,Morning,M1,482,19
B0407,2026-01-28,Evening,M2,499,26
B0408,2026-01-28,Night,M3,516,12
B0409,2026-01-28,Morning,M4,533,12
B0410,2026-01-28,Evening,M5,550,19
B0411,2026-01-28,Night,M1,567,29
B0412,2026-01-28,Morning,M2,584,5
B0413,2026-01-28,Evening,M3,421,16
B0414,2026-01-28,Night,M4,438,22
B0415,2026-01-28,Morning,M5,455,26
B0416,2026-01-28,Evening,M1,472,5
B0417,2026-01-28,Night,M2,489,15
B0418,2026-01-28,Morning,M3,506,23
B0419,2026-01-28,Evening,M4,523,26
B0420,2026-01-28,Night,M5,540,8
B0421,2026-01-29,Morning,M1,557,12
B0422,2026-01-29,Evening,M2,574,19
B0423,2026-01-29,Night,M3,591,33
B0424,2026-01-29,Morning,M4,428,5
B0425,2026-01-29,Evening,M5,445,12
B0426,2026-01-29,Night,M1,462,22
B0427,2026-01-29,Morning,M2,479,26
B0428,2026-01-29,Evening,M3,496,9
B0429,2026-01-29,Night,M4,513,15
B0430,2026-01-29,Morning,M5,530,19
B0431,2026-01-29,Evening,M1,547,26
B0432,2026-01-29,Night,M2,564,8
B0433,2026-01-29,Morning,M3,581,16
B0434,2026-01-29,Evening,M4,598,19
B0435,2026-01-29,Night,M5,435,29
B0436,2026-01-30,Morning,M1,452,5
B0437,2026-01-30,Evening,M2,469,12
B0438,2026-01-30,Night,M3,486,26
B0439,2026-01-30,Morning,M4,503,26
B0440,2026-01-30,Evening,M5,520,5
B0441,2026-01-30,Night,M1,537,15
B0442,2026-01-30,Morning,M2,554,19
B0443,2026-01-30,Evening,M3,571,30
B0444,2026-01-30,Night,M4,588,8
B0445,2026-01-30,Morning,M5,425,12
B0446,2026-01-30,Evening,M1,442,19
B0447,2026-01-30,Night,M2,459,29
B0448,2026-01-30,Morning,M3,476,9
B0449,2026-01-30,Evening,M4,493,12
B0450,2026-01-30,Night,M5,510,22
B0451,2026-01-31,Morning,M1,527,26
B0452,2026-01-31,Evening,M2,544,5
B0453,2026-01-31,Night,M3,561,19
B0454,2026-01-31,Morning,M4,578,19
B0455,2026-01-31,Evening,M5,595,26
B0456,2026-01-31,Night,M1,432,8
B0457,2026-01-31,Morning,M2,449,12
B0458,2026-01-31,Evening,M3,466,23
B0459,2026-01-31,Night,M4,483,29
B0460,2026-01-31,Morning,M5,500,5
B0461,2026-01-31,Evening,M1,517,12
B0462,2026-01-31,Night,M2,534,22
B0463,2026-01-31,Morning,M3,551,30
B0464,2026-01-31,Evening,M4,568,5
B0465,2026-01-31,Night,M5,585,15
B0466,2026-02-01,Morning,M1,422,19
B0467,2026-02-01,Evening,M2,439,26
B0468,2026-02-01,Night,M3,456,12
B0469,2026-02-01,Morning,M4,473,12
B0470,2026-02-01,Evening,M5,490,19
B0471,2026-02-01,Night,M1,507,29
B0472,2026-02-01,Morning,M2,524,5
B0473,2026-02-01,Evening,M3,541,16
B0474,2026-02-01,Night,M4,558,22
B0475,2026-02-01,Morning,M5,575,26
B0476,2026-02-01,Evening,M1,592,5
B0477,2026-02-01,Night,M2,429,15
B0478,2026-02-01,Morning,M3,446,23
B0479,2026-02-01,Evening,M4,463,26
B0480,2026-02-01,Night,M5,480,8
B0481,2026-02-02,Morning,M1,497,12
B0482,2026-02-02,Evening,M2,514,19
B0483,2026-02-02,Night,M3,531,33
B0484,2026-02-02,Morning,M4,548,5
B0485,2026-02-02,Evening,M5,565,12
B0486,2026-02-02,Night,M1,582,22
B0487,2026-02-02,Morning,M2,599,26
B0488,2026-02-02,Evening,M3,436,9
B0489,2026-02-02,Night,M4,453,15
B0490,2026-02-02,Morning,M5,470,19
B0491,2026-02-02,Evening,M1,487,26
B0492,2026-02-02,Night,M2,504,8
B0493,2026-02-02,Morning,M3,521,16
B0494,2026-02-02,Evening,M4,538,19
B0495,2026-02-02,Night,M5,555,29
B0496,2026-02-03,Morning,M1,572,5
B0497,2026-02-03,Evening,M2,589,12
B0498,2026-02-03,Night,M3,426,26
B0499,2026-02-03,Morning,M4,443,26
B0500,2026-02-03,Evening,M5,460,5
B0501,2026-02-03,Night,M1,477,15
B0502,2026-02-03,Morning,M2,494,19
B0503,2026-02-03,Evening,M3,511,30
B0504,2026-02-03,Night,M4,528,8
B0505,2026-02-03,Morning,M5,545,12
B0506,2026-02-03,Evening,M1,562,19
B0507,2026-02-03,Night,M2,579,29
B0508,2026-02-03,Morning,M3,596,9
B0509,2026-02-03,Evening,M4,433,12
B0510,2026-02-03,Night,M5,450,22
B0511,2026-02-04,Morning,M1,467,26
B0512,2026-02-04,Evening,M2,484,5
B0513,2026-02-04,Night,M3,501,19
B0514,2026-02-04,Morning,M4,518,19
B0515,2026-02-04,Evening,M5,535,26
B0516,2026-02-04,Night,M1,552,8
B0517,2026-02-04,Morning,M2,569,12
B0518,2026-02-04,Evening,M3,586,23
B0519,2026-02-04,Night,M4,423,29
B0520,2026-02-04,Morning,M5,440,5
B0521,2026-02-04,Evening,M1,457,12
B0522,2026-02-04,Night,M2,474,22
B0523,2026-02-04,Morning,M3,491,30
B0524,2026-02-04,Evening,M4,508,5
B0525,2026-02-04,Night,M5,525,15
B0526,2026-02-05,Morning,M1,542,19
B0527,2026-02-05,Evening,M2,559,26
B0528,2026-02-05,Night,M3,576,12
B0529,2026-02-05,Morning,M4,593,12
B0530,2026-02-05,Evening,M5,430,19
B0531,2026-02-05,Night,M1,447,29
B0532,2026-02-05,Morning,M2,464,5
B0533,2026-02-05,Evening,M3,481,16
B0534,2026-02-05,Night,M4,498,22
B0535,2026-02-05,Morning,M5,515,26
B0536,2026-02-05,Evening,M1,532,5
B0537,2026-02-05,Night,M2,549,15
B0538,2026-02-05,Morning,M3,566,23
B0539,2026-02-05,Evening,M4,583,26
B0540,2026-02-05,Night,M5,420,8
B0541,2026-02-06,Morning,M1,437,12
B0542,2026-02-06,Evening,M2,454,19
B0543,2026-02-06,Night,M3,471,33
B0544,2026-02-06,Morning,M4,488,5
B0545,2026-02-06,Evening,M5,505,12
B0546,2026-02-06,Night,M1,522,22
B0547,2026-02-06,Morning,M2,539,26
B0548,2026-02-06,Evening,M3,556,9
B0549,2026-02-06,Night,M4,573,15
B0550,2026-02-06,Morning,M5,590,19
B0551,2026-02-06,Evening,M1,427,26
B0552,2026-02-06,Night,M2,444,8
B0553,2026-02-06,Morning,M3,461,16
B0554,2026-02-06,Evening,M4,478,19
B0555,2026-02-06,Night,M5,495,29
B0556,2026-02-07,Morning,M1,512,5
B0557,2026-02-07,Evening,M2,529,12
B0558,2026-02-07,Night,M3,546,26
B0559,2026-02-07,Morning,M4,563,26
B0560,2026-02-07,Evening,M5,580,5
B0561,2026-02-07,Night,M1,597,15
B0562,2026-02-07,Morning,M2,434,19
B0563,2026-02-07,Evening,M3,451,30
B0564,2026-02-07,Night,M4,468,8
B0565,2026-02-07,Morning,M5,485,12
B0566,2026-02-07,Evening,M1,502,19
B0567,2026-02-07,Night,M2,519,29
B0568,2026-02-07,Morning,M3,536,9
B0569,2026-02-07,Evening,M4,553,12
B0570,2026-02-07,Night,M5,570,22
B0571,2026-02-08,Morning,M1,587,26
B0572,2026-02-08,Evening,M2,424,5
B0573,2026-02-08,Night,M3,441,19
B0574,2026-02-08,Morning,M4,458,19
B0575,2026-02-08,Evening,M5,475,26
B0576,2026-02-08,Night,M1,492,8
B0577,2026-02-08,Morning,M2,509,12
B0578,2026-02-08,Evening,M3,526,23
B0579,2026-02-08,Night,M4,543,29
B0580,2026-02-08,Morning,M5,560,5
B0581,2026-02-08,Evening,M1,577,12
B0582,2026-02-08,Night,M2,594,22
B0583,2026-02-08,Morning,M3,431,30
B0584,2026-02-08,Evening,M4,448,5
B0585,2026-02-08,Night,M5,465,15
B0586,2026-02-09,Morning,M1,482,19
B0587,2026-02-09,Evening,M2,499,26
B0588,2026-02-09,Night,M3,516,12
B0589,2026-02-09,Morning,M4,533,12
B0590,2026-02-09,Evening,M5,550,19
B0591,2026-02-09,Night,M1,567,29
B0592,2026-02-09,Morning,M2,584,5
B0593,2026-02-09,Evening,M3,421,16
B0594,2026-02-09,Night,M4,438,22
B0595,2026-02-09,Morning,M5,455,26
B0596,2026-02-09,Evening,M1,472,5
B0597,2026-02-09,Night,M2,489,15
B0598,2026-02-09,Morning,M3,506,23
B0599,2026-02-09,Evening,M4,523,26
B0600,2026-02-09,Night,M5,540,8
B0601,2026-02-10,Morning,M1,557,12
B0602,2026-02-10,Evening,M2,574,19
B0603,2026-02-10,Night,M3,591,33
B0604,2026-02-10,Morning,M4,428,5
B0605,2026-02-10,Evening,M5,445,12
B0606,2026-02-10,Night,M1,462,22
B0607,2026-02-10,Morning,M2,479,26
B0608,2026-02-10,Evening,M3,496,9
B0609,2026-02-10,Night,M4,513,15
B0610,2026-02-10,Morning,M5,530,19
B0611,2026-02-10,Evening,M1,547,26
B0612,2026-02-10,Night,M2,564,8
B0613,2026-02-10,Morning,M3,581,16
B0614,2026-02-10,Evening,M4,598,19
B0615,2026-02-10,Night,M5,435,29
B0616,2026-02-11,Morning,M1,452,5
B0617,2026-02-11,Evening,M2,469,12
B0618,2026-02-11,Night,M3,486,26
B0619,2026-02-11,Morning,M4,503,26
B0620,2026-02-11,Evening,M5,520,5
B0621,2026-02-11,Night,M1,537,15
B0622,2026-02-11,Morning,M2,554,19
B0623,2026-02-11,Evening,M3,571,30
B0624,2026-02-11,Night,M4,588,8
B0625,2026-02-11,Morning,M5,425,12
B0626,2026-02-11,Evening,M1,442,19
B0627,2026-02-11,Night,M2,459,29
B0628,2026-02-11,Morning,M3,476,9
B0629,2026-02-11,Evening,M4,493,12
B0630,2026-02-11,Night,M5,510,22
B0631,2026-02-12,Morning,M1,527,26
B0632,2026-02-12,Evening,M2,544,5
B0633,2026-02-12,Night,M3,561,19
B0634,2026-02-12,Morning,M4,578,19
B0635,2026-02-12,Evening,M5,595,26
B0636,2026-02-12,Night,M1,432,8
B0637,2026-02-12,Morning,M2,449,12
B0638,2026-02-12,Evening,M3,466,23
B0639,2026-02-12,Night,M4,483,29
B0640,2026-02-12,Morning,M5,500,5
B0641,2026-02-12,Evening,M1,517,12
B0642,2026-02-12,Night,M2,534,22
B0643,2026-02-12,Morning,M3,551,30
B0644,2026-02-12,Evening,M4,568,5
